atom,substrate,buried_volume,distal_volume,fraction_buried_volume,free_volume,electrophilicity,nucleophilicity,radical_attack,dual_descriptor,"mulliken charge, n(s), n(p), n(d)"
4,[CH3:1][CH:2]1[CH2:3][CH2:4][CH2:5][c:6]2[n:7][cH:8][cH:9][n:10]21,81.2176341344018,66.38919755155254,0.4522281494595602,98.37674589581471,-0.01245532256490453,-0.01634459811502436,-0.014399960339964445,-0.0038892755501198292,"[(-0.04543, -0.15275, 1.027, 3.019)]"
5,[CH3:1][CH:2]1[CH2:3][CH2:4][CH2:5][c:6]2[n:7][cH:8][cH:9][n:10]21,81.28980155556098,66.34041360749546,0.4526299850913157,98.30457847465553,-0.008270870341342162,-0.018730682893855932,-0.013500776617599047,-0.01045981255251377,"[(-0.062, -0.15629, 1.027, 3.035)]"
2,[CH3:1][CH:2]1[CH2:3][CH2:4][c:5]2[n:6][cH:7][cH:8][n:9]2[CH2:10]1,99.12247591445956,53.99653899679174,0.5519241520685799,80.47190411575696,0.0007616964778297958,-0.003680171532856741,-0.0014592375275134725,-0.004441868010686537,"[(-0.01592, -0.08239, 1.055, 2.961)]"
3,[CH3:1][CH:2]1[CH2:3][CH2:4][c:5]2[n:6][cH:7][cH:8][n:9]2[CH2:10]1,86.0852743963557,61.647396054995525,0.4793316716362281,93.50910563386081,-0.012999892910475166,-0.017849421407678173,-0.01542465715907667,-0.004849528497203007,"[(-0.05253, -0.15783, 1.031, 3.021)]"
4,[CH3:1][CH:2]1[CH2:3][CH2:4][c:5]2[n:6][cH:7][cH:8][n:9]2[CH2:10]1,80.19892300093746,67.26050721427335,0.44655586097651884,99.39545702927906,-0.0093421258231422,-0.0191677113866575,-0.01425491860489985,-0.009825585563515302,"[(-0.06073, -0.155, 1.028, 3.033)]"
10,[CH3:1][CH:2]1[CH2:3][CH2:4][c:5]2[n:6][cH:7][cH:8][n:9]2[CH2:10]1,90.96023599089096,56.13340505811911,0.5064759597465524,88.63414403932555,-0.02501739750466333,-0.0302029726011167,-0.027610185052890014,-0.005185575096453371,"[(0.08043, 0.03836, 1.008, 2.912)]"
2,[CH3:1][CH:2]1[CH2:3][CH2:4][n:5]2[c:6]([n:8][cH:9][cH:10]2)[CH2:7]1,99.22811228456213,53.93258732878361,0.5525123462541931,80.36626774565438,-0.0003453893908125505,-0.004021818564199586,-0.0021836039775060684,-0.003676429173387036,"[(-0.00516, -0.07425, 1.052, 2.953)]"
7,[CH3:1][CH:2]1[CH2:3][CH2:4][n:5]2[c:6]([n:8][cH:9][cH:10]2)[CH2:7]1,79.18334958143654,72.44909190989989,0.4409010436079016,100.41103044877997,0.1461523050485512,0.1161592506380234,0.1311557778432873,-0.029993054410527797,"[(-0.40114, -0.58342, 1.554, 3.847)]"
4,[CH3:1][CH:2]1[CH2:3][CH2:4][n:5]2[c:6]([n:8][cH:9][cH:10]2)[CH2:7]1,81.08166652931929,65.54617425630063,0.45147106783451363,98.51271350089722,-0.02469510835490973,-0.0291344363401475,-0.026914772347528614,-0.00443932798523777,"[(0.08765, 0.04388, 1.004, 2.908)]"
3,[CH3:1][CH:2]1[CH2:3][CH2:4][n:5]2[c:6]([n:8][cH:9][cH:10]2)[CH2:7]1,86.11455972668116,61.69673500433723,0.4794947353708535,93.47982030353535,-0.013195727391119544,-0.017352896722136205,-0.015274312056627874,-0.004157169331016661,"[(-0.06279, -0.1654, 1.034, 3.028)]"
