product,Sterimol_L,Sterimol_B1,Sterimol_B5,SASA_Area,SASA_Volume,Disp_int,Disp_Volume,Disp_Area,XTB_ip,XTB_ea,XTB_HOMO,XTB_LUMO,XTB_Dipol_1,XTB_Dipole_2,XTB_Dipole_3,XTB_Electrophilicity,XTB_Nucleophilicity
[c:1]12[cH:2][cH:3][cH:4][cH:5][c:6]1[CH2:7][CH:8]([c:9]1[cH:10][cH:11][cH:12][cH:13][cH:14]1)[O:15]2,4.606042844919273,1.9500912744133667,6.292631422669309,395.57226798125424,598.0098641135072,18.63594124456876,251.7997442470309,265.35483359660043,12.565466596360988,3.943260134650093,-0.3708318487205788,-0.2285743735267277,-0.2629472586538215,-0.1674610792005206,0.5547663779045876,0.6736640373266539,-7.719466596360988
[CH3:1][CH:2]1[CH2:3][CH2:4][c:5]2[c:6]([n:8][c:9](-[c:10]3[cH:11][cH:12][cH:13][cH:14][cH:15]3)[c:16](-[c:17]3[cH:18][cH:19][cH:20][cH:21][cH:22]3)[n:23]2)[CH2:7]1,13.035616927280849,2.063688250482824,8.71061275616423,540.4730510284614,870.3431944351119,19.946791036731952,389.9999199707783,392.5152361171877,11.847365367579778,4.947307699338261,-0.3451138699887213,-0.262201851486876,0.3220321745382764,-0.0080194627489507,0.0547752459471789,0.9139047657477694,-7.001365367579778
[CH:1]1([c:2]2[cH:3][cH:4][cH:5][cH:6][cH:7]2)[NH:8][CH2:9][CH2:10][NH:11][CH2:12]1,6.864208685842683,2.220123634674798,3.542835274705705,355.1313354154071,528.7868680884299,17.36884911921364,229.15132122899064,241.46444985877903,12.17376752986051,3.0099782633499204,-0.3475745613759833,-0.2202882889053247,0.0285128883137066,0.1302049715136517,-0.7094167025348064,0.4113919332401969,-7.327767529860511
[CH3:1][CH:2]1[CH2:3][CH2:4][CH2:5][c:6]2[n:7][cH:8][cH:9][n:10]21,5.386338545230423,1.9864971967826657,5.577636898683734,308.4309717379939,449.93438214446473,16.50390353126938,191.67636532295532,203.6704001726477,13.033154089404691,1.763340876548014,-0.3612812634120713,-0.1853546713562153,-1.143421607263388,-1.2179917804308402,0.4082043000335322,0.2890006733620017,-8.187154089404691
[CH3:1][CH:2]1[CH2:3][CH2:4][c:5]2[n:6][cH:7][cH:8][n:9]2[CH2:10]1,8.00114459887935,2.016127234577725,4.5489180452161495,314.53096207974244,455.6713312548497,16.375012710710138,191.96638533920824,207.26974912434707,13.048707534781808,1.7529447816289914,-0.3623637722239643,-0.1857429159748697,-1.540333313259742,0.6949733569536507,-0.419451310796167,0.288919696761015,-8.202707534781807
[CH3:1][CH:2]1[CH2:3][CH2:4][n:5]2[c:6]([n:8][cH:9][cH:10]2)[CH2:7]1,7.950388357728265,2.011840855910351,3.979243247700392,314.41096146132475,455.6133285994139,16.434974532134856,193.8640172439456,208.86906906381307,13.034362035091924,1.7577475205345483,-0.3623994011636706,-0.1858688195614625,-0.7088859191951927,-1.1302501254777682,-1.051750402409828,0.2883303034547048,-8.188362035091924
[CH3:1][CH:2]1[c:3]2[n:4][cH:5][cH:6][n:7]2[CH2:8][CH2:9][CH2:10]1,6.452654769201262,2.016668607629213,5.608001196531372,312.2910373541311,453.57947053821925,16.404385772918644,192.64792108246704,207.27202269403887,12.993991928705404,1.780038208394988,-0.3620146922844494,-0.1861664628130264,-0.4682961454922685,-1.5420944821244946,0.1548557220669701,0.2878894339872676,-8.147991928705405
[CH3:1][CH:2]1[CH2:3][CH2:4][c:5]2[n:6][cH:7][cH:8][n:9]2[CH:10]1[CH3:11],5.674163591622885,2.0061879531021534,6.697190841040879,328.83105284092375,491.2657714425415,16.85477438949531,214.22626214510083,223.37229421818017,12.953016604907278,1.7527977199125009,-0.3604488030833135,-0.1842213165992401,-1.4101853728546003,-0.9763777075417936,-0.048175173914621,0.2805562813313238,-8.107016604907278
[CH3:1][C@H:2]1[CH2:3][CH2:4][CH2:5][c:6]2[n:7][cH:8][cH:9][n:10]21,5.386339364082687,1.986374825344993,5.577636868394853,308.9109797126466,450.513658281488,16.510536213780952,191.3287957536658,203.970522006574,13.033154254493205,1.763340832529708,-0.3612812271769503,-0.185354637255277,-0.7826000302216531,1.437154424860044,0.5288403510133258,0.2890006817089505,-8.187154254493205
[CH3:1][C@H:2]1[CH2:3][CH2:4][CH2:5][c:6]2[n:7][cH:8][cH:9][n:10]21,6.348572368929032,2.020310132415485,5.621237407052446,310.35095271831614,451.68265449410393,16.538230344807175,192.6213205885506,206.269933168573,13.033690863742782,1.7528581713219358,-0.3613804988217189,-0.1852056613064214,-1.1972120523975338,1.200505631297196,0.3758794665899901,0.2875943489539188,-8.187690863742782
[CH3:1][C@H:2]1[CH2:3][CH2:4][CH2:5][c:6]2[n:7][cH:8][cH:9][n:10]21,6.348570904919374,2.020321304160791,5.621237455518269,310.1709501193373,451.45137481154177,16.52756884384188,191.91089103421768,205.67038945755428,13.033690751205528,1.7528580841585824,-0.3613804732575609,-0.1852056395034447,-1.370705308646217,-0.7826838010226234,-0.724151104797784,0.2875943270540513,-8.187690751205528
[CH3:1][C@H:2]1[CH2:3][CH2:4][CH2:5][c:6]2[n:7][cH:8][cH:9][n:10]21,5.38633850882665,1.9863147059946915,5.577635778457644,308.6809741732827,450.2929059389272,16.50062171373057,190.3752642425136,202.9711412738436,13.033154028207466,1.7633407089941129,-0.3612812220641996,-0.1853546532838843,-0.8549285018782373,1.4551522230446707,0.3304142666601644,0.2890006447322561,-8.187154028207466
[CH3:1][C@H:2]1[CH2:3][CH2:4][CH2:5][c:6]2[n:7][cH:8][cH:9][n:10]21,5.386337494326002,1.9865703351437665,5.577637271349715,308.5309754333354,450.0406829063725,16.539162668937934,192.22047052220535,204.97002851374228,13.03315401420062,1.7633409769837771,-0.3612813008826935,-0.1853546646421175,-1.5917032534593778,-0.6467065662366087,0.0762039556561626,0.2890006807231524,-8.18715401420062
[CH3:1][C@H:2]1[CH2:3][CH2:4][CH2:5][c:6]2[n:7][cH:8][cH:9][n:10]21,6.348576822886521,2.0204369760821463,5.621238471311019,310.07094729587374,451.2827265809835,16.504704695233336,192.3253211205933,205.8704055954671,13.033690204090677,1.752857463726067,-0.3613804628150587,-0.1852056309271516,-1.0397142393461456,1.264391592729556,0.5797615805498536,0.2875941933655749,-8.187690204090677
[CH3:1][C@H:2]1[CH2:3][CH2:4][CH2:5][c:6]2[n:7][cH:8][cH:9][n:10]21,5.386340037441898,1.986304711420893,5.577636071717455,308.5609734903033,450.10016108753655,16.526142314507574,191.72769380982896,204.17028000315395,13.033154382397608,1.7633408950708995,-0.3612811475592868,-0.1853545758936945,1.526198923454028,-0.1082614329862741,0.7852071997116497,0.2890007015976684,-8.187154382397607
[CH3:1][C@H:2]1[CH2:3][CH2:4][CH2:5][c:6]2[n:7][cH:8][cH:9][n:10]21,5.38633759758619,1.986699397196619,5.577637150520964,308.5809758485911,450.0684322954759,16.52904751738013,191.80650864804704,204.37056586234573,13.033154073191934,1.7633408074694186,-0.3612812266549772,-0.1853546221350406,-1.0356403919257635,1.204629358395396,0.6586872940197999,0.2890006623484579,-8.187154073191934
[CH3:1][C@H:2]1[CH2:3][CH2:4][CH2:5][c:6]2[n:7][cH:8][cH:9][n:10]21,5.386337975260721,1.9863414686395773,5.577635852870779,308.6609728431476,450.1806424988214,16.43822659488208,190.94335295807892,202.77085541465175,13.033154220135172,1.7633409075053368,-0.3612812126423481,-0.1853546045357922,-0.9228315770601384,1.1730790239360511,0.8542949081931502,0.2890006891119643,-8.187154220135172
[CH3:1][CH2:2][C@H:3]1[CH2:4][CH2:5][CH2:6][c:7]2[n:8][cH:9][cH:10][n:11]21,6.967298871095188,1.9769015245259407,6.263903087076487,330.98090783611184,492.7002736648958,16.814092058067043,214.00079147021364,223.77334747939148,12.908514359857069,1.7745121251707316,-0.3604271036767704,-0.1847222994784211,1.3113023261949692,-0.6942934186439365,-0.8507921656839506,0.2796652188626798,-8.062514359857069
[CH3:1][CH2:2][CH2:3][CH2:4][CH2:5][C@H:6]1[CH2:7][CH2:8][CH2:9][c:10]2[n:11][cH:12][cH:13][n:14]21,9.487280582678974,1.992196125234728,7.37510404936128,422.5408871965711,645.3594080710428,17.18772593963184,288.9820890945873,300.17479115094187,12.64843679953622,1.795669149490808,-0.3603582766968402,-0.1846301381256806,0.969243931974475,-1.3290725010830968,0.4892089852349413,0.2601008295644702,-7.802436799536219
[C@H:1]1([CH2:2][CH2:3][c:4]2[cH:5][cH:6][cH:7][cH:8][cH:9]2)[CH2:10][CH2:11][CH2:12][c:13]2[n:14][cH:15][cH:16][n:17]21,4.732986411775778,3.41247300836495,7.090687685948987,436.10216738063366,689.2119310761508,18.72016317525582,308.11976842541424,310.0440388352832,12.478195655792671,3.6155460658260936,-0.3609728565724122,-0.2281095122647412,1.1890355040479197,-0.6901743447994027,-1.02312055420361,0.5780198214751507,-7.632195655792673
[C@H:1]1([CH2:2][CH2:3][c:4]2[n:5][cH:6][cH:7][cH:8][cH:9]2)[CH2:10][CH2:11][CH2:12][c:13]2[n:14][cH:15][cH:16][n:17]21,4.741569779445726,3.0990157458792336,7.100618380692403,428.151854230174,672.3985565390225,18.619401127753743,299.7457738217668,299.8414918221548,12.244474668098576,3.905496056062957,-0.3594553572378517,-0.2517211514380477,1.4959689624074102,0.0933491377655403,0.3090245199127461,0.6251572856586743,-7.398474668098576
[O:1]=[C:2]([N:3]([CH2:4][CH3:5])[CH2:6][CH3:7])[CH2:8][CH2:9][C@H:10]1[CH2:11][CH2:12][CH2:13][c:14]2[n:15][cH:16][cH:17][n:18]21,6.538343586757243,2.411889255455949,7.641913183688228,460.4204786574688,746.8041192957635,18.297338030515533,346.7165135905339,340.686497449331,12.352441583764127,2.834110039347792,-0.3592522025270386,-0.2046999169706792,1.3377119486202806,-0.0682708706631244,-0.8572071497423399,0.396473076691051,-7.506441583764127
[CH3:1][N:2]([CH3:3])[CH2:4][CH2:5][CH2:6][C@H:7]1[CH2:8][CH2:9][CH2:10][c:11]2[n:12][cH:13][cH:14][n:15]21,7.820926127965356,2.7144007684430567,7.473779540425111,420.6912177288166,660.3256553603027,17.54825818647708,301.05572655672233,301.1717312072474,12.035468551904842,1.739111395090438,-0.3555428781319489,-0.1823106497527241,1.6708252592839772,-0.4320049908837573,-0.6345461809547247,0.2023465528846895,-7.189468551904842
[C@H:1]1([CH2:2][CH2:3][O:4][CH2:5][c:6]2[cH:7][cH:8][cH:9][cH:10][cH:11]2)[CH2:12][CH2:13][CH2:14][c:15]2[n:16][cH:17][cH:18][n:19]21,8.831736602428387,3.0461017069051204,6.04323094660195,484.0920019234295,766.4317340227991,18.64923290976916,344.6831173632304,349.95070467240805,12.341560560841978,3.703022576435587,-0.3592858807319901,-0.2300341128979265,1.2107246283371529,-1.1237744194866828,-0.1536690556024176,0.5839430322131696,-7.495560560841978
[CH3:1][Si:2]([C:3]([CH3:4])([CH3:5])[CH3:6])([CH3:7])[O:8][CH2:9][CH2:10][C@H:11]1[CH2:12][CH2:13][CH2:14][c:15]2[n:16][cH:17][cH:18][n:19]21,6.400600354542476,3.405404670320193,8.943964572581358,506.2415260181756,848.6705830570471,18.923902916242668,404.7922415765135,387.5805873081857,11.98109457958095,2.3131067401355563,-0.3596143724118736,-0.1834908715155351,-0.7044079312556704,-1.2555801361043173,-0.6680924403303767,0.2738452061966928,-7.135094579580949
[CH3:1][Si:2]([CH3:3])([C:4]([CH3:5])([CH3:6])[CH3:7])[O:8][CH2:9][C@H:10]1[CH2:11][CH2:12][CH2:13][c:14]2[n:15][cH:16][cH:17][n:18]21,7.726965687528789,3.4555022457016222,8.83342647569328,498.3016858399197,820.2738117255539,18.706190309936567,381.2491745215336,377.1811358763738,12.068549642592531,2.542877710717335,-0.3655036792511304,-0.1902836242903562,1.3393747341861828,0.1839455601643205,-0.2010061121857247,0.3175729446905436,-7.222549642592533
[C@H:1]1([c:2]2[cH:3][cH:4][cH:5][cH:6][cH:7]2)[CH2:8][CH2:9][CH2:10][c:11]2[n:12][cH:13][cH:14][n:15]21,6.877455629914932,2.4857228280707933,5.548245421910337,387.5719258508852,596.3604860700393,18.4782701717166,260.5760698235979,266.8451317153928,12.713162565997129,3.5757902148208305,-0.3630518846965773,-0.232835102271954,0.9265703647669926,-1.070331527227574,-0.8695832142647228,0.5953542265728519,-7.867162565997129
[F:1][C:2]([F:3])([F:4])[c:5]1[cH:6][cH:7][c:10]([C@H:11]2[CH2:12][CH2:13][CH2:14][c:15]3[n:16][cH:17][cH:18][n:19]32)[cH:9][cH:8]1,8.3621833968196,2.1822770113485426,9.495616655850348,442.0792563565375,692.6265256162732,18.44822780532361,295.3434665044643,302.1238738322494,13.150523360343296,4.5351303845085695,-0.3733720652994695,-0.2717582118821761,-0.7165669167259279,-0.1033609447441162,-1.6407326736994972,0.927097875451138,-8.304523360343296
[CH3:1][C@H:2]1[CH2:3][CH2:4][CH2:5][c:6]2[n:7][c:8](-[c:9]3[cH:10][cH:11][cH:12][cH:13][cH:14]3)[cH:15][n:16]21,5.53987383528272,1.989099250278504,9.73615219396955,424.33241811028967,652.5959166850588,18.29528543808128,286.12750987494445,295.24361068372224,12.131922473635194,3.5441942401718167,-0.35562183983143,-0.2242586237000842,-1.6690435671242958,0.8172532901028444,-0.0702859577102273,0.5212329132768594,-7.285922473635194
[CH3:1][C@H:2]1[CH2:3][CH2:4][CH2:5][c:6]2[n:7][c:8](-[c:9]3[c:10]([F:11])[cH:12][cH:13][cH:14][cH:15]3)[cH:16][n:17]21,5.570262213814992,1.9891536338620863,9.75494683912863,429.32163299072926,664.4092609520104,18.319624230034822,288.7031254697332,296.8371337760127,12.309217162866304,3.8320153986094185,-0.3619021435071783,-0.2358189894283108,-1.4364487720505814,-0.2467204924535999,-0.0114916331868153,0.6133008536992856,-7.463217162866304
[CH3:1][C@H:2]1[CH2:3][CH2:4][CH2:5][c:6]2[n:7][c:8](-[c:9]3[c:10]([Cl:11])[cH:12][cH:13][cH:14][cH:15]3)[cH:16][n:17]21,6.34370796619068,2.0186220734939253,9.861824838738626,442.4220427908322,689.9437419709458,18.95255613299456,302.15409019313086,308.1613438949505,12.223365493598031,3.946131672616201,-0.3631195105360308,-0.2367245397648483,-1.4813998681930929,0.3313081553238028,0.1912667365748916,0.6336351377430404,-7.377365493598031
[CH3:1][C@H:2]1[CH2:3][CH2:4][CH2:5][c:6]2[n:7][c:8](-[c:9]3[cH:10][cH:11][c:12]([C:13]([F:14])([F:15])[F:16])[cH:17][cH:18]3)[cH:19][n:20]21,6.164035086660238,1.988159493365808,11.218331348576154,478.8197488510766,749.246182465286,18.21799568587801,318.4040808908972,326.52473942087755,12.696744747251383,4.471494765830529,-0.3769389096394185,-0.2573197511476787,-3.671026731960077,0.6809510061383501,0.1968562685549971,0.8494294608556073,-7.850744747251385
