substrate,Sterimol_L,Sterimol_B1,Sterimol_B5,SASA_Area,SASA_Volume,Disp_int,Disp_Volume,Disp_Area,XTB_ip,XTB_ea,XTB_HOMO,XTB_LUMO,XTB_Dipol_1,XTB_Dipole_2,XTB_Dipole_3,XTB_Electrophilicity,XTB_Nucleophilicity
[F:1][C:2]([F:3])([F:4])[c:5]1[cH:6][cH:7][c:10](-[c:11]2[cH:12][cH:13][cH:14][c:15]3[n:16][cH:17][cH:18][n:19]23)[cH:9][cH:8]1,8.784644153051142,2.186669068292572,9.77059872232015,434.6304034730084,670.3532884341845,18.79597764168704,273.32068881325773,283.6977841484451,13.002927963468302,5.571671564598196,-0.3842197486933037,-0.2897119644841412,-0.3140723695950873,0.9497877832360632,0.1302815104564287,1.327174204149444,-8.156927963468302
[CH3:1][c:2]1[cH:3][cH:4][cH:5][c:6]2[n:7][c:8](-[c:9]3[cH:10][cH:11][cH:12][cH:13][cH:14]3)[cH:15][n:16]12,6.872332192802572,1.885876431484436,9.729958124707384,412.06354037404697,625.8059194875826,18.775191555473377,264.11209756184275,275.6177341306208,12.310089629152936,4.713623553405377,-0.3665699992269652,-0.2550457050757048,-1.1038076723286885,0.4797676489199773,-0.8730005283903248,0.8845234358860984,-7.464089629152935
[CH3:1][c:2]1[cH:3][cH:4][cH:5][c:6]2[n:7][c:8](-[c:9]3[c:10]([F:11])[cH:12][cH:13][cH:14][cH:15]3)[cH:16][n:17]12,6.872302364196091,1.8848775258180408,9.743415777998996,417.4327677896237,637.8525086926925,18.75673400586422,266.41868712603053,276.5124489429448,12.448336165251666,4.894984528306236,-0.3700704011423181,-0.2603453028550243,-0.7686581181049004,0.4393528281222592,-0.0199103521472905,0.9688200544861368,-7.602336165251666
[CH3:1][c:2]1[cH:3][cH:4][cH:5][c:6]2[n:7][c:8](-[c:9]3[c:10]([Cl:11])[cH:12][cH:13][cH:14][cH:15]3)[cH:16][n:17]12,6.872775068764955,1.8908988446440105,9.726528175213335,428.9131382336373,661.7108127320315,19.34283234251609,280.9803180562858,287.83688087248373,12.358628861841654,4.921137800946224,-0.3707612993049815,-0.2596356389384076,0.8758552808110555,-0.2814178661579221,-0.476620580614794,0.9676348256676676,-7.512628861841653
[CH3:1][c:2]1[cH:3][cH:4][cH:5][c:6]2[n:7][c:8](-[c:9]3[cH:10][cH:11][c:12]([C:13]([F:14])([F:15])[F:16])[cH:17][cH:18]3)[cH:19][n:20]12,6.873084905756569,1.885493347753215,11.104343828730242,466.82087837616285,722.6288480574145,18.61970801396101,297.842559133034,308.0980104004233,12.81126180113802,5.361484593301856,-0.3825404488046197,-0.2757761372116517,-2.9648554157867064,-1.1296471703595463,-0.1043821386730343,1.2067988310300002,-7.96526180113802
[CH3:1][c:2]1[cH:3][cH:4][cH:5][c:6]2[n:7][c:8](-[c:9]3[cH:10][c:11]4[cH:12][cH:13][cH:14][cH:15][c:16]4[cH:17][cH:18]3)[cH:19][n:20]12,7.755675257540547,1.885918095573683,11.806776302454823,476.9443421210642,744.4708262729894,19.53707396082917,321.59262454398674,325.79800100428,11.921487902418884,5.132232495475166,-0.3633153842285179,-0.2605411229686007,-1.1656032511847214,-0.9468436866114353,0.0336149470617211,0.9978069016475172,-7.075487902418884
[CH3:1][c:2]1[cH:3][cH:4][cH:5][c:6]2[n:7][c:8](-[c:9]3[cH:10][c:11]4[cH:12][cH:13][c:14]([O:15][CH3:16])[cH:17][c:18]4[cH:19][cH:20]3)[cH:21][n:22]12,7.751718798285651,1.886021534395641,13.889009964865696,520.7636673545449,819.642397015356,19.41798167670472,355.95756817892425,361.5105349780133,11.628352276278262,5.094146854227351,-0.3553616930284425,-0.2578834748688726,-0.7574351443208105,-0.380543821557552,-0.1805121084315877,0.9455609908060958,-6.782352276278262
[CH3:1][c:2]1[cH:3][cH:4][cH:5][c:6]2[n:7][c:8]([C:9]([O:10][CH2:11][CH3:12])=[O:13])[cH:14][n:15]12,7.450244960462088,1.8847822731622603,9.41063972537376,414.4606475054298,616.4113695331768,17.369699810910397,252.785357738234,273.1759330170684,12.892303270228592,4.899945505696244,-0.3824651364935417,-0.2701695326998399,-1.4239494370297905,-0.1580888412912249,-0.236030902489938,1.0261995296783213,-8.046303270228593
[CH3:1][c:2]1[cH:3][cH:4][cH:5][c:6]2[n:7][c:8]([C:9]([F:10])([F:11])[F:12])[cH:13][n:14]12,6.872975881663188,1.8854693360388968,6.888612796078261,357.17934757487154,525.8997260227364,17.14905023006625,205.57638588076577,224.32443102510288,13.615613000686093,4.697505390357619,-0.3990674168726416,-0.2755439613994533,-2.9224198910357835,0.056680502440876,0.6724632861053134,1.0417524316806064,-8.76961300068609
[CH3:1][Si:2]([O:3][CH2:4][c:5]1[cH:6][cH:7][cH:8][c:9]2[n:10][c:11](-[c:12]3[cH:13][cH:14][cH:15][cH:16][cH:17]3)[cH:18][n:19]12)([CH3:20])[C:21]([CH3:22])([CH3:23])[CH3:24],6.356677987356656,3.452593104782085,12.56428239020888,604.9741504431444,996.49859746325,19.64307051226508,454.7099248885891,448.5296535375928,11.842111426825143,4.826823763822034,-0.3696412053547193,-0.2576380521253846,-1.0972003024423795,-0.6264885950458239,-0.4898140899060811,0.8673490488352442,-6.996111426825143
