substrate,product,mapped_reaction,hydrogenated_atoms
[CH3:1][C:2]1=[CH:3][CH:4]=[CH:5][C:6]2=[CH:7][NH:8][CH2:9][N:10]12,[CH3:1][C@H:2]1[CH2:3][CH2:4][CH2:5][c:6]2[cH:7][n:8][cH:9][n:10]21,[CH3:1][C:2]1=[CH:3][CH:4]=[CH:5][C:6]2=[CH:7][NH:8][CH2:9][N:10]12>>[CH3:1][C@H:2]1[CH2:3][CH2:4][CH2:5][c:6]2[cH:7][n:8][cH:9][n:10]21,"[2, 3, 4, 5]"
[CH3:1][C:2]1=[CH:3][CH:4]=[CH:5][C:6]2=[CH:7][NH:8][CH2:9][N:10]12,[CH3:1][C@H:2]1[CH2:3][CH2:4][CH2:5][c:6]2[cH:7][n:8][cH:9][n:10]21,[CH3:1][C:2]1=[CH:3][CH:4]=[CH:5][C:6]2=[CH:7][NH:8][CH2:9][N:10]12>>[CH3:1][C@H:2]1[CH2:3][CH2:4][CH2:5][c:6]2[cH:7][n:8][cH:9][n:10]21,"[2, 3, 4, 5]"
[CH3:1][C:2]1=[CH:3][CH:4]=[CH:5][C:6]2=[CH:7][NH:8][CH2:9][N:10]12,[CH3:1][C@H:2]1[CH2:3][CH2:4][CH2:5][c:6]2[cH:7][n:8][cH:9][n:10]21,[CH3:1][C:2]1=[CH:3][CH:4]=[CH:5][C:6]2=[CH:7][NH:8][CH2:9][N:10]12>>[CH3:1][C@H:2]1[CH2:3][CH2:4][CH2:5][c:6]2[cH:7][n:8][cH:9][n:10]21,"[2, 3, 4, 5]"
[CH3:1][c:2]1[cH:3][cH:4][cH:5][c:6]2[cH:7][cH:8][n:9][n:10]12,[CH3:1][C@H:2]1[CH2:3][CH2:4][CH2:5][c:6]2[cH:7][cH:8][n:9][n:10]21,[CH3:1][c:2]1[cH:3][cH:4][cH:5][c:6]2[cH:7][cH:8][n:9][n:10]12>>[CH3:1][C@H:2]1[CH2:3][CH2:4][CH2:5][c:6]2[cH:7][cH:8][n:9][n:10]21,"[2, 3, 4, 5]"
[CH3:1][c:2]1[cH:3][cH:4][cH:5][c:6]2[cH:7][cH:8][n:9][n:10]12,[CH3:1][C@H:2]1[CH2:3][CH2:4][CH2:5][c:6]2[cH:7][cH:8][n:9][n:10]21,[CH3:1][c:2]1[cH:3][cH:4][cH:5][c:6]2[cH:7][cH:8][n:9][n:10]12>>[CH3:1][C@H:2]1[CH2:3][CH2:4][CH2:5][c:6]2[cH:7][cH:8][n:9][n:10]21,"[2, 3, 4, 5]"
[CH3:1][c:2]1[cH:3][cH:4][cH:5][c:6]2[cH:7][cH:8][n:9][n:10]12,[CH3:1][C@H:2]1[CH2:3][CH2:4][CH2:5][c:6]2[cH:7][cH:8][n:9][n:10]21,[CH3:1][c:2]1[cH:3][cH:4][cH:5][c:6]2[cH:7][cH:8][n:9][n:10]12>>[CH3:1][C@H:2]1[CH2:3][CH2:4][CH2:5][c:6]2[cH:7][cH:8][n:9][n:10]21,"[2, 3, 4, 5]"
[CH3:1][c:2]1[cH:3][cH:4][cH:5][c:6]2[cH:7][cH:8][n:9][n:10]12,[CH3:1][C@H:2]1[CH2:3][CH2:4][CH2:5][c:6]2[cH:7][cH:8][n:9][n:10]21,[CH3:1][c:2]1[cH:3][cH:4][cH:5][c:6]2[cH:7][cH:8][n:9][n:10]12>>[CH3:1][C@H:2]1[CH2:3][CH2:4][CH2:5][c:6]2[cH:7][cH:8][n:9][n:10]21,"[2, 3, 4, 5]"
[CH3:1][c:2]1[cH:3][cH:4][cH:5][c:6]2[cH:7][cH:8][n:9][n:10]12,[CH3:1][C@H:2]1[CH2:3][CH2:4][CH2:5][c:6]2[cH:7][cH:8][n:9][n:10]21,[CH3:1][c:2]1[cH:3][cH:4][cH:5][c:6]2[cH:7][cH:8][n:9][n:10]12>>[CH3:1][C@H:2]1[CH2:3][CH2:4][CH2:5][c:6]2[cH:7][cH:8][n:9][n:10]21,"[2, 3, 4, 5]"
[O:1]=[c:2]1[cH:3][c:4]([CH3:5])[c:6]2[cH:7][cH:8][cH:9][cH:10][c:11]2[n:12]1[CH3:13],[O:1]=[C:2]1[CH2:3][C@@H:4]([CH3:5])[c:6]2[cH:7][cH:8][cH:9][cH:10][c:11]2[N:12]1[CH3:13],[O:1]=[c:2]1[cH:3][c:4]([CH3:5])[c:6]2[cH:7][cH:8][cH:9][cH:10][c:11]2[n:12]1[CH3:13]>>[O:1]=[C:2]1[CH2:3][C@@H:4]([CH3:5])[c:6]2[cH:7][cH:8][cH:9][cH:10][c:11]2[N:12]1[CH3:13],"[3, 4]"
[O:1]=[c:2]1[cH:3][c:4]([CH3:5])[c:6]2[cH:7][cH:8][cH:9][cH:10][c:11]2[n:12]1[CH3:13],[O:1]=[C:2]1[CH2:3][C@@H:4]([CH3:5])[c:6]2[cH:7][cH:8][cH:9][cH:10][c:11]2[N:12]1[CH3:13],[O:1]=[c:2]1[cH:3][c:4]([CH3:5])[c:6]2[cH:7][cH:8][cH:9][cH:10][c:11]2[n:12]1[CH3:13]>>[O:1]=[C:2]1[CH2:3][C@@H:4]([CH3:5])[c:6]2[cH:7][cH:8][cH:9][cH:10][c:11]2[N:12]1[CH3:13],"[3, 4]"
[O:1]=[c:2]1[cH:3][c:4]([CH3:5])[c:6]2[cH:7][cH:8][cH:9][cH:10][c:11]2[n:12]1[CH3:13],[O:1]=[C:2]1[CH2:3][C@@H:4]([CH3:5])[c:6]2[cH:7][cH:8][cH:9][cH:10][c:11]2[N:12]1[CH3:13],[O:1]=[c:2]1[cH:3][c:4]([CH3:5])[c:6]2[cH:7][cH:8][cH:9][cH:10][c:11]2[n:12]1[CH3:13]>>[O:1]=[C:2]1[CH2:3][C@@H:4]([CH3:5])[c:6]2[cH:7][cH:8][cH:9][cH:10][c:11]2[N:12]1[CH3:13],"[3, 4]"
[O:1]=[c:2]1[cH:3][c:4]([CH3:5])[c:6]2[cH:7][cH:8][cH:9][cH:10][c:11]2[n:12]1[CH3:13],[O:1]=[C:2]1[CH2:3][C@@H:4]([CH3:5])[c:6]2[cH:7][cH:8][cH:9][cH:10][c:11]2[N:12]1[CH3:13],[O:1]=[c:2]1[cH:3][c:4]([CH3:5])[c:6]2[cH:7][cH:8][cH:9][cH:10][c:11]2[n:12]1[CH3:13]>>[O:1]=[C:2]1[CH2:3][C@@H:4]([CH3:5])[c:6]2[cH:7][cH:8][cH:9][cH:10][c:11]2[N:12]1[CH3:13],"[3, 4]"
[O:1]=[c:2]1[cH:3][c:4]([CH3:5])[c:6]2[cH:7][cH:8][cH:9][cH:10][c:11]2[n:12]1[CH3:13],[O:1]=[C:2]1[CH2:3][C@@H:4]([CH3:5])[c:6]2[cH:7][cH:8][cH:9][cH:10][c:11]2[N:12]1[CH3:13],[O:1]=[c:2]1[cH:3][c:4]([CH3:5])[c:6]2[cH:7][cH:8][cH:9][cH:10][c:11]2[n:12]1[CH3:13]>>[O:1]=[C:2]1[CH2:3][C@@H:4]([CH3:5])[c:6]2[cH:7][cH:8][cH:9][cH:10][c:11]2[N:12]1[CH3:13],"[3, 4]"
[O:1]=[c:2]1[cH:3][c:4]([CH3:5])[c:6]2[cH:7][cH:8][cH:9][cH:10][c:11]2[n:12]1[CH3:13],[O:1]=[C:2]1[CH2:3][C@@H:4]([CH3:5])[c:6]2[cH:7][cH:8][cH:9][cH:10][c:11]2[N:12]1[CH3:13],[O:1]=[c:2]1[cH:3][c:4]([CH3:5])[c:6]2[cH:7][cH:8][cH:9][cH:10][c:11]2[n:12]1[CH3:13]>>[O:1]=[C:2]1[CH2:3][C@@H:4]([CH3:5])[c:6]2[cH:7][cH:8][cH:9][cH:10][c:11]2[N:12]1[CH3:13],"[3, 4]"
[O:1]=[c:2]1[cH:3][c:4]([CH3:5])[c:6]2[cH:7][cH:8][cH:9][cH:10][c:11]2[n:12]1[CH3:13],[O:1]=[C:2]1[CH2:3][C@@H:4]([CH3:5])[c:6]2[cH:7][cH:8][cH:9][cH:10][c:11]2[N:12]1[CH3:13],[O:1]=[c:2]1[cH:3][c:4]([CH3:5])[c:6]2[cH:7][cH:8][cH:9][cH:10][c:11]2[n:12]1[CH3:13]>>[O:1]=[C:2]1[CH2:3][C@@H:4]([CH3:5])[c:6]2[cH:7][cH:8][cH:9][cH:10][c:11]2[N:12]1[CH3:13],"[3, 4]"
[O:1]=[c:2]1[cH:3][c:4]([CH3:5])[c:6]2[cH:7][cH:8][cH:9][cH:10][c:11]2[n:12]1[CH3:13],[O:1]=[C:2]1[CH2:3][C@@H:4]([CH3:5])[c:6]2[cH:7][cH:8][cH:9][cH:10][c:11]2[N:12]1[CH3:13],[O:1]=[c:2]1[cH:3][c:4]([CH3:5])[c:6]2[cH:7][cH:8][cH:9][cH:10][c:11]2[n:12]1[CH3:13]>>[O:1]=[C:2]1[CH2:3][C@@H:4]([CH3:5])[c:6]2[cH:7][cH:8][cH:9][cH:10][c:11]2[N:12]1[CH3:13],"[3, 4]"
[O:1]=[c:2]1[cH:3][c:4]([CH3:5])[c:6]2[cH:7][cH:8][cH:9][cH:10][c:11]2[n:12]1[CH2:13][c:14]1[cH:15][cH:16][cH:17][cH:18][cH:19]1,[O:1]=[C:2]1[CH2:3][C@@H:4]([CH3:5])[c:6]2[cH:7][cH:8][cH:9][cH:10][c:11]2[N:12]1[CH2:13][c:14]1[cH:15][cH:16][cH:17][cH:18][cH:19]1,[O:1]=[c:2]1[cH:3][c:4]([CH3:5])[c:6]2[cH:7][cH:8][cH:9][cH:10][c:11]2[n:12]1[CH2:13][c:14]1[cH:15][cH:16][cH:17][cH:18][cH:19]1>>[O:1]=[C:2]1[CH2:3][C@@H:4]([CH3:5])[c:6]2[cH:7][cH:8][cH:9][cH:10][c:11]2[N:12]1[CH2:13][c:14]1[cH:15][cH:16][cH:17][cH:18][cH:19]1,"[3, 4]"
[CH3:1][n:2]1[c:3]2[cH:4][cH:5][c:6]([CH3:7])[cH:8][c:9]2[c:10]([CH3:11])[cH:12][c:13]1=[O:14],[CH3:1][N:2]1[c:3]2[cH:4][cH:5][c:6]([CH3:7])[cH:8][c:9]2[C@H:10]([CH3:11])[CH2:12][C:13]1=[O:14],[CH3:1][n:2]1[c:3]2[cH:4][cH:5][c:6]([CH3:7])[cH:8][c:9]2[c:10]([CH3:11])[cH:12][c:13]1=[O:14]>>[CH3:1][N:2]1[c:3]2[cH:4][cH:5][c:6]([CH3:7])[cH:8][c:9]2[C@H:10]([CH3:11])[CH2:12][C:13]1=[O:14],"[10, 12]"
[CH3:1][n:2]1[c:3]2[cH:4][cH:5][c:6]([CH2:7][CH2:8][CH2:9][CH3:10])[cH:11][c:12]2[c:13]([CH3:14])[cH:15][c:16]1=[O:17],[CH3:1][N:2]1[c:3]2[cH:4][cH:5][c:6]([CH2:7][CH2:8][CH2:9][CH3:10])[cH:11][c:12]2[C@H:13]([CH3:14])[CH2:15][C:16]1=[O:17],[CH3:1][n:2]1[c:3]2[cH:4][cH:5][c:6]([CH2:7][CH2:8][CH2:9][CH3:10])[cH:11][c:12]2[c:13]([CH3:14])[cH:15][c:16]1=[O:17]>>[CH3:1][N:2]1[c:3]2[cH:4][cH:5][c:6]([CH2:7][CH2:8][CH2:9][CH3:10])[cH:11][c:12]2[C@H:13]([CH3:14])[CH2:15][C:16]1=[O:17],"[13, 15]"
[CH3:1][n:2]1[c:3]2[cH:4][cH:5][c:6]([C:7]([CH2:8][CH2:9][CH2:10][CH2:11][CH3:12])=[O:13])[cH:14][c:15]2[c:16]([CH3:17])[cH:18][c:19]1=[O:20],[CH3:1][N:2]1[c:3]2[cH:4][cH:5][c:6]([C:7]([CH2:8][CH2:9][CH2:10][CH2:11][CH3:12])=[O:13])[cH:14][c:15]2[C@H:16]([CH3:17])[CH2:18][C:19]1=[O:20],[CH3:1][n:2]1[c:3]2[cH:4][cH:5][c:6]([C:7]([CH2:8][CH2:9][CH2:10][CH2:11][CH3:12])=[O:13])[cH:14][c:15]2[c:16]([CH3:17])[cH:18][c:19]1=[O:20]>>[CH3:1][N:2]1[c:3]2[cH:4][cH:5][c:6]([C:7]([CH2:8][CH2:9][CH2:10][CH2:11][CH3:12])=[O:13])[cH:14][c:15]2[C@H:16]([CH3:17])[CH2:18][C:19]1=[O:20],"[16, 18]"
[CH3:1][n:2]1[c:3]2[cH:4][cH:5][c:6]([F:7])[cH:8][c:9]2[c:10]([CH3:11])[cH:12][c:13]1=[O:14],[CH3:1][N:2]1[c:3]2[cH:4][cH:5][c:6]([F:7])[cH:8][c:9]2[C@H:10]([CH3:11])[CH2:12][C:13]1=[O:14],[CH3:1][n:2]1[c:3]2[cH:4][cH:5][c:6]([F:7])[cH:8][c:9]2[c:10]([CH3:11])[cH:12][c:13]1=[O:14]>>[CH3:1][N:2]1[c:3]2[cH:4][cH:5][c:6]([F:7])[cH:8][c:9]2[C@H:10]([CH3:11])[CH2:12][C:13]1=[O:14],"[10, 12]"
[CH3:1][n:2]1[c:3]2[cH:4][cH:5][c:6]([Cl:7])[cH:8][c:9]2[c:10]([CH3:11])[cH:12][c:13]1=[O:14],[CH3:1][N:2]1[c:3]2[cH:4][cH:5][c:6]([Cl:7])[cH:8][c:9]2[C@H:10]([CH3:11])[CH2:12][C:13]1=[O:14],[CH3:1][n:2]1[c:3]2[cH:4][cH:5][c:6]([Cl:7])[cH:8][c:9]2[c:10]([CH3:11])[cH:12][c:13]1=[O:14]>>[CH3:1][N:2]1[c:3]2[cH:4][cH:5][c:6]([Cl:7])[cH:8][c:9]2[C@H:10]([CH3:11])[CH2:12][C:13]1=[O:14],"[10, 12]"
[CH3:1][n:2]1[c:3]2[cH:4][cH:5][c:6]([O:7][CH3:8])[cH:9][c:10]2[c:11]([CH3:12])[cH:13][c:14]1=[O:15],[CH3:1][N:2]1[c:3]2[cH:4][cH:5][c:6]([O:7][CH3:8])[cH:9][c:10]2[C@H:11]([CH3:12])[CH2:13][C:14]1=[O:15],[CH3:1][n:2]1[c:3]2[cH:4][cH:5][c:6]([O:7][CH3:8])[cH:9][c:10]2[c:11]([CH3:12])[cH:13][c:14]1=[O:15]>>[CH3:1][N:2]1[c:3]2[cH:4][cH:5][c:6]([O:7][CH3:8])[cH:9][c:10]2[C@H:11]([CH3:12])[CH2:13][C:14]1=[O:15],"[11, 13]"
[CH3:1][n:2]1[c:3]2[cH:4][cH:5][c:6](-[c:7]3[cH:8][cH:9][cH:10][cH:11][cH:12]3)[cH:13][c:14]2[c:15]([CH3:16])[cH:17][c:18]1=[O:19],[CH3:1][N:2]1[c:3]2[cH:4][cH:5][c:6](-[c:7]3[cH:8][cH:9][cH:10][cH:11][cH:12]3)[cH:13][c:14]2[C@H:15]([CH3:16])[CH2:17][C:18]1=[O:19],[CH3:1][n:2]1[c:3]2[cH:4][cH:5][c:6](-[c:7]3[cH:8][cH:9][cH:10][cH:11][cH:12]3)[cH:13][c:14]2[c:15]([CH3:16])[cH:17][c:18]1=[O:19]>>[CH3:1][N:2]1[c:3]2[cH:4][cH:5][c:6](-[c:7]3[cH:8][cH:9][cH:10][cH:11][cH:12]3)[cH:13][c:14]2[C@H:15]([CH3:16])[CH2:17][C:18]1=[O:19],"[15, 17]"
[CH3:1][n:2]1[c:3]2[cH:4][cH:5][c:6](-[c:7]3[cH:8][cH:9][c:10]([O:11][CH3:12])[cH:13][cH:14]3)[cH:15][c:16]2[c:17]([CH3:18])[cH:19][c:20]1=[O:21],[CH3:1][N:2]1[c:3]2[cH:4][cH:5][c:6](-[c:7]3[cH:8][cH:9][c:10]([O:11][CH3:12])[cH:13][cH:14]3)[cH:15][c:16]2[C@H:17]([CH3:18])[CH2:19][C:20]1=[O:21],[CH3:1][n:2]1[c:3]2[cH:4][cH:5][c:6](-[c:7]3[cH:8][cH:9][c:10]([O:11][CH3:12])[cH:13][cH:14]3)[cH:15][c:16]2[c:17]([CH3:18])[cH:19][c:20]1=[O:21]>>[CH3:1][N:2]1[c:3]2[cH:4][cH:5][c:6](-[c:7]3[cH:8][cH:9][c:10]([O:11][CH3:12])[cH:13][cH:14]3)[cH:15][c:16]2[C@H:17]([CH3:18])[CH2:19][C:20]1=[O:21],"[17, 19]"
[CH3:1][n:2]1[c:3]2[cH:4][c:5]([CH3:6])[cH:7][cH:8][c:9]2[c:10]([CH3:11])[cH:12][c:13]1=[O:14],[CH3:1][N:2]1[c:3]2[cH:4][c:5]([CH3:6])[cH:7][cH:8][c:9]2[C@H:10]([CH3:11])[CH2:12][C:13]1=[O:14],[CH3:1][n:2]1[c:3]2[cH:4][c:5]([CH3:6])[cH:7][cH:8][c:9]2[c:10]([CH3:11])[cH:12][c:13]1=[O:14]>>[CH3:1][N:2]1[c:3]2[cH:4][c:5]([CH3:6])[cH:7][cH:8][c:9]2[C@H:10]([CH3:11])[CH2:12][C:13]1=[O:14],"[10, 12]"
[CH3:1][n:2]1[c:3]2[cH:4][c:5]([CH2:6][CH3:7])[cH:8][cH:9][c:10]2[c:11]([CH3:12])[cH:13][c:14]1=[O:15],[CH3:1][N:2]1[c:3]2[cH:4][c:5]([CH2:6][CH3:7])[cH:8][cH:9][c:10]2[C@H:11]([CH3:12])[CH2:13][C:14]1=[O:15],[CH3:1][n:2]1[c:3]2[cH:4][c:5]([CH2:6][CH3:7])[cH:8][cH:9][c:10]2[c:11]([CH3:12])[cH:13][c:14]1=[O:15]>>[CH3:1][N:2]1[c:3]2[cH:4][c:5]([CH2:6][CH3:7])[cH:8][cH:9][c:10]2[C@H:11]([CH3:12])[CH2:13][C:14]1=[O:15],"[11, 13]"
[CH3:1][n:2]1[c:3]2[cH:4][c:5]([O:6][CH3:7])[cH:8][cH:9][c:10]2[c:11]([CH3:12])[cH:13][c:14]1=[O:15],[CH3:1][N:2]1[c:3]2[cH:4][c:5]([O:6][CH3:7])[cH:8][cH:9][c:10]2[C@H:11]([CH3:12])[CH2:13][C:14]1=[O:15],[CH3:1][n:2]1[c:3]2[cH:4][c:5]([O:6][CH3:7])[cH:8][cH:9][c:10]2[c:11]([CH3:12])[cH:13][c:14]1=[O:15]>>[CH3:1][N:2]1[c:3]2[cH:4][c:5]([O:6][CH3:7])[cH:8][cH:9][c:10]2[C@H:11]([CH3:12])[CH2:13][C:14]1=[O:15],"[11, 13]"
[CH3:1][n:2]1[c:3]2[cH:4][c:5]([F:6])[cH:7][cH:8][c:9]2[c:10]([CH3:11])[cH:12][c:13]1=[O:14],[CH3:1][N:2]1[c:3]2[cH:4][c:5]([F:6])[cH:7][cH:8][c:9]2[C@H:10]([CH3:11])[CH2:12][C:13]1=[O:14],[CH3:1][n:2]1[c:3]2[cH:4][c:5]([F:6])[cH:7][cH:8][c:9]2[c:10]([CH3:11])[cH:12][c:13]1=[O:14]>>[CH3:1][N:2]1[c:3]2[cH:4][c:5]([F:6])[cH:7][cH:8][c:9]2[C@H:10]([CH3:11])[CH2:12][C:13]1=[O:14],"[10, 12]"
[CH3:1][n:2]1[c:3]2[cH:4][c:5]([Cl:6])[cH:7][cH:8][c:9]2[c:10]([CH3:11])[cH:12][c:13]1=[O:14],[CH3:1][N:2]1[c:3]2[cH:4][c:5]([Cl:6])[cH:7][cH:8][c:9]2[C@H:10]([CH3:11])[CH2:12][C:13]1=[O:14],[CH3:1][n:2]1[c:3]2[cH:4][c:5]([Cl:6])[cH:7][cH:8][c:9]2[c:10]([CH3:11])[cH:12][c:13]1=[O:14]>>[CH3:1][N:2]1[c:3]2[cH:4][c:5]([Cl:6])[cH:7][cH:8][c:9]2[C@H:10]([CH3:11])[CH2:12][C:13]1=[O:14],"[10, 12]"
[CH3:1][n:2]1[c:3]2[cH:4][c:5]([Br:6])[cH:7][cH:8][c:9]2[c:10]([CH3:11])[cH:12][c:13]1=[O:14],[CH3:1][N:2]1[c:3]2[cH:4][c:5]([Br:6])[cH:7][cH:8][c:9]2[C@H:10]([CH3:11])[CH2:12][C:13]1=[O:14],[CH3:1][n:2]1[c:3]2[cH:4][c:5]([Br:6])[cH:7][cH:8][c:9]2[c:10]([CH3:11])[cH:12][c:13]1=[O:14]>>[CH3:1][N:2]1[c:3]2[cH:4][c:5]([Br:6])[cH:7][cH:8][c:9]2[C@H:10]([CH3:11])[CH2:12][C:13]1=[O:14],"[10, 12]"
[CH3:1][n:2]1[c:3]2[cH:4][c:5]([CH3:6])[c:7]([CH3:8])[cH:9][c:10]2[c:11]([CH3:12])[cH:13][c:14]1=[O:15],[CH3:1][N:2]1[c:3]2[cH:4][c:5]([CH3:6])[c:7]([CH3:8])[cH:9][c:10]2[C@H:11]([CH3:12])[CH2:13][C:14]1=[O:15],[CH3:1][n:2]1[c:3]2[cH:4][c:5]([CH3:6])[c:7]([CH3:8])[cH:9][c:10]2[c:11]([CH3:12])[cH:13][c:14]1=[O:15]>>[CH3:1][N:2]1[c:3]2[cH:4][c:5]([CH3:6])[c:7]([CH3:8])[cH:9][c:10]2[C@H:11]([CH3:12])[CH2:13][C:14]1=[O:15],"[11, 13]"
[CH3:1][n:2]1[c:3]2[cH:4][c:5]([CH3:6])[cH:7][c:8]([CH3:9])[c:10]2[c:11]([CH3:12])[cH:13][c:14]1=[O:15],[CH3:1][N:2]1[c:3]2[cH:4][c:5]([CH3:6])[cH:7][c:8]([CH3:9])[c:10]2[C@H:11]([CH3:12])[CH2:13][C:14]1=[O:15],[CH3:1][n:2]1[c:3]2[cH:4][c:5]([CH3:6])[cH:7][c:8]([CH3:9])[c:10]2[c:11]([CH3:12])[cH:13][c:14]1=[O:15]>>[CH3:1][N:2]1[c:3]2[cH:4][c:5]([CH3:6])[cH:7][c:8]([CH3:9])[c:10]2[C@H:11]([CH3:12])[CH2:13][C:14]1=[O:15],"[11, 13]"
[CH3:1][n:2]1[c:3]2[cH:4][c:5](-[c:6]3[cH:7][cH:8][cH:9][cH:10][cH:11]3)[cH:12][cH:13][c:14]2[c:15]([CH3:16])[cH:17][c:18]1=[O:19],[CH3:1][N:2]1[c:3]2[cH:4][c:5](-[c:6]3[cH:7][cH:8][cH:9][cH:10][cH:11]3)[cH:12][cH:13][c:14]2[C@H:15]([CH3:16])[CH2:17][C:18]1=[O:19],[CH3:1][n:2]1[c:3]2[cH:4][c:5](-[c:6]3[cH:7][cH:8][cH:9][cH:10][cH:11]3)[cH:12][cH:13][c:14]2[c:15]([CH3:16])[cH:17][c:18]1=[O:19]>>[CH3:1][N:2]1[c:3]2[cH:4][c:5](-[c:6]3[cH:7][cH:8][cH:9][cH:10][cH:11]3)[cH:12][cH:13][c:14]2[C@H:15]([CH3:16])[CH2:17][C:18]1=[O:19],"[15, 17]"
[CH3:1][n:2]1[c:3]2[cH:4][c:5](-[c:6]3[cH:7][cH:8][c:9]([C:10]([F:11])([F:12])[F:13])[cH:14][cH:15]3)[cH:16][cH:17][c:18]2[c:19]([CH3:20])[cH:21][c:22]1=[O:23],[CH3:1][N:2]1[c:3]2[cH:4][c:5](-[c:6]3[cH:7][cH:8][c:9]([C:10]([F:11])([F:12])[F:13])[cH:14][cH:15]3)[cH:16][cH:17][c:18]2[C@H:19]([CH3:20])[CH2:21][C:22]1=[O:23],[CH3:1][n:2]1[c:3]2[cH:4][c:5](-[c:6]3[cH:7][cH:8][c:9]([C:10]([F:11])([F:12])[F:13])[cH:14][cH:15]3)[cH:16][cH:17][c:18]2[c:19]([CH3:20])[cH:21][c:22]1=[O:23]>>[CH3:1][N:2]1[c:3]2[cH:4][c:5](-[c:6]3[cH:7][cH:8][c:9]([C:10]([F:11])([F:12])[F:13])[cH:14][cH:15]3)[cH:16][cH:17][c:18]2[C@H:19]([CH3:20])[CH2:21][C:22]1=[O:23],"[19, 21]"
[O:1]=[c:2]1[cH:3][c:4]([CH3:5])[c:6]2[cH:7][cH:8][cH:9][c:10]3[c:11]2[n:12]1[CH2:13][CH2:14][CH2:15]3,[O:1]=[C:2]1[CH2:3][C@@H:4]([CH3:5])[c:6]2[cH:7][cH:8][cH:9][c:10]3[c:11]2[N:12]1[CH2:13][CH2:14][CH2:15]3,[O:1]=[c:2]1[cH:3][c:4]([CH3:5])[c:6]2[cH:7][cH:8][cH:9][c:10]3[c:11]2[n:12]1[CH2:13][CH2:14][CH2:15]3>>[O:1]=[C:2]1[CH2:3][C@@H:4]([CH3:5])[c:6]2[cH:7][cH:8][cH:9][c:10]3[c:11]2[N:12]1[CH2:13][CH2:14][CH2:15]3,"[3, 4]"
[CH3:1][n:2]1[c:3]2[cH:4][cH:5][cH:6][cH:7][c:8]2[c:9]([CH2:10][CH3:11])[cH:12][c:13]1=[O:14],[CH3:1][N:2]1[c:3]2[cH:4][cH:5][cH:6][cH:7][c:8]2[C@H:9]([CH2:10][CH3:11])[CH2:12][C:13]1=[O:14],[CH3:1][n:2]1[c:3]2[cH:4][cH:5][cH:6][cH:7][c:8]2[c:9]([CH2:10][CH3:11])[cH:12][c:13]1=[O:14]>>[CH3:1][N:2]1[c:3]2[cH:4][cH:5][cH:6][cH:7][c:8]2[C@H:9]([CH2:10][CH3:11])[CH2:12][C:13]1=[O:14],"[9, 12]"
[CH3:1][n:2]1[c:3]2[cH:4][cH:5][cH:6][cH:7][c:8]2[c:9]([CH:10]([CH3:11])[CH3:12])[cH:13][c:14]1=[O:15],[CH3:1][N:2]1[c:3]2[cH:4][cH:5][cH:6][cH:7][c:8]2[C@H:9]([CH:10]([CH3:11])[CH3:12])[CH2:13][C:14]1=[O:15],[CH3:1][n:2]1[c:3]2[cH:4][cH:5][cH:6][cH:7][c:8]2[c:9]([CH:10]([CH3:11])[CH3:12])[cH:13][c:14]1=[O:15]>>[CH3:1][N:2]1[c:3]2[cH:4][cH:5][cH:6][cH:7][c:8]2[C@H:9]([CH:10]([CH3:11])[CH3:12])[CH2:13][C:14]1=[O:15],"[9, 13]"
[CH3:1][n:2]1[c:3]2[cH:4][cH:5][cH:6][cH:7][c:8]2[c:9](-[c:10]2[cH:11][cH:12][cH:13][cH:14][cH:15]2)[cH:16][c:17]1=[O:18],[CH3:1][N:2]1[c:3]2[cH:4][cH:5][cH:6][cH:7][c:8]2[C@H:9]([c:10]2[cH:11][cH:12][cH:13][cH:14][cH:15]2)[CH2:16][C:17]1=[O:18],[CH3:1][n:2]1[c:3]2[cH:4][cH:5][cH:6][cH:7][c:8]2[c:9](-[c:10]2[cH:11][cH:12][cH:13][cH:14][cH:15]2)[cH:16][c:17]1=[O:18]>>[CH3:1][N:2]1[c:3]2[cH:4][cH:5][cH:6][cH:7][c:8]2[C@H:9]([c:10]2[cH:11][cH:12][cH:13][cH:14][cH:15]2)[CH2:16][C:17]1=[O:18],"[9, 16]"
[CH3:1][n:2]1[c:3]2[cH:4][cH:5][cH:6][cH:7][c:8]2[cH:9][c:10]([CH3:11])[c:12]1=[O:13],[CH3:1][N:2]1[c:3]2[cH:4][cH:5][cH:6][cH:7][c:8]2[CH2:9][C@H:10]([CH3:11])[C:12]1=[O:13],[CH3:1][n:2]1[c:3]2[cH:4][cH:5][cH:6][cH:7][c:8]2[cH:9][c:10]([CH3:11])[c:12]1=[O:13]>>[CH3:1][N:2]1[c:3]2[cH:4][cH:5][cH:6][cH:7][c:8]2[CH2:9][C@H:10]([CH3:11])[C:12]1=[O:13],"[9, 10]"
